Group	name
orthologous4	ACTRT3
orthologous4	ACTRT3
orthologous4	ACTRT3
orthologous5	ACTRT2
orthologous5	ACTRT2
orthologous5	ACTRT2
orthologous5	ACTRT2
orthologous5	ACTRT2
orthologous5	ACTRT2
orthologous5	ACTRT2
orthologous6	ACTL8
orthologous6	ACTL8
orthologous6	ACTL8
orthologous6	ACTL8
orthologous6	ACTL8
orthologous6	ACTL8
orthologous6	ACTL8
orthologous7	ACTL9
orthologous7	ACTL9
orthologous7	ACTL9
orthologous7	ACTL9
orthologous7	ACTL9
orthologous7	ACTL9
orthologous7	ACTL9
orthologous8	ACTL7B
orthologous8	ACTL7B
orthologous8	ACTL7B
orthologous8	ACTL7B
orthologous8	ACTL7B
orthologous8	ACTL7B
orthologous8	ACTL7B
orthologous9	ACTA1
orthologous9	ACTA1
orthologous9	ACTA1
orthologous9	ACTA1
orthologous9	ACTA1
orthologous9	ACTA1
orthologous9	ACTA1
orthologous10	ACTC1
orthologous10	ACTC1
orthologous10	ACTC1
orthologous10	ACTC1
orthologous10	ACTC1
orthologous10	ACTC1
orthologous10	ACTC1
orthologous11	ACTG2
orthologous11	ACTG2
orthologous11	ACTG2
orthologous11	ACTG2
orthologous11	ACTG2
orthologous11	ACTG2
orthologous11	ACTG2
orthologous12	ACTA2
orthologous12	ACTA2
orthologous12	ACTA2
orthologous12	ACTA2
orthologous12	ACTA2
orthologous12	ACTA2
orthologous12	ACTA2
